2016-05-19	65.06410
2016-05-20	66.21100
2016-05-21	66.37750
2016-05-22	66.37750
2016-05-23	66.37750
2016-05-24	67.04750
2016-05-25	67.04930
2016-05-26	65.89490
2016-05-27	65.20620
2016-05-28	66.04130
2016-05-29	66.04130
2016-05-30	66.04130
2016-05-31	66.08250
2016-06-01	65.99620
2016-06-02	66.61560
2016-06-03	66.74910
2016-06-04	66.85290
2016-06-05	66.85290
2016-06-06	66.85290
2016-06-07	65.78940
2016-06-08	65.20890
2016-06-09	64.67970
2016-06-10	63.74020
2016-06-11	64.70770
2016-06-12	64.70770
2016-06-13	64.70770
2016-06-14	64.70770
2016-06-15	66.03060
2016-06-16	65.91560
2016-06-17	65.86180
2016-06-18	65.43980
2016-06-19	65.43980
2016-06-20	65.43980
2016-06-21	64.15090
2016-06-22	64.17430
2016-06-23	63.71620
2016-06-24	64.32120
2016-06-25	65.52870
2016-06-26	65.52870
2016-06-27	65.52870
2016-06-28	65.05880
2016-06-29	64.80950
2016-06-30	64.25750
2016-07-01	64.17550
2016-07-02	64.01650
2016-07-03	64.01650
2016-07-04	64.01650
2016-07-05	63.68440
2016-07-06	64.26760
2016-07-07	64.63040
2016-07-08	64.05000
2016-07-09	64.24880
2016-07-10	64.24880
2016-07-11	64.24880
2016-07-12	64.20240
2016-07-13	63.90290
2016-07-14	63.85310
2016-07-15	63.57730
2016-07-16	63.16970
2016-07-17	63.16970
2016-07-18	63.16970
2016-07-19	63.11540
2016-07-20	62.98910
2016-07-21	63.41830
2016-07-22	63.73730
2016-07-23	64.62700
2016-07-24	64.62700
2016-07-25	64.62700
2016-07-26	64.91840
2016-07-27	65.74080
2016-07-28	65.94670
2016-07-29	66.11250
2016-07-30	67.05120
2016-07-31	67.05120
2016-08-01	67.05120
2016-08-02	65.95530
2016-08-03	66.88160
2016-08-04	66.74200
2016-08-05	66.39410
2016-08-06	65.56270
2016-08-07	65.56270
2016-08-08	65.56270
2016-08-09	65.07990
2016-08-10	64.78480
2016-08-11	64.81370
2016-08-12	64.94970
2016-08-13	64.33640
2016-08-14	64.33640
2016-08-15	64.33640
2016-08-16	64.20760
2016-08-17	63.95140
2016-08-18	63.99430
2016-08-19	63.54870
2016-08-20	63.93910
2016-08-21	63.93910
2016-08-22	63.93910
2016-08-23	64.20780
2016-08-24	64.76840
2016-08-25	64.81400
2016-08-26	64.94590
2016-08-27	64.73800
2016-08-28	64.73800
2016-08-29	64.73800
2016-08-30	65.08100
2016-08-31	64.90720
2016-09-01	65.25350
2016-09-02	65.25660
2016-09-03	65.86840
2016-09-04	65.86840
2016-09-05	65.86840
2016-09-06	64.76440
2016-09-07	64.83060
2016-09-08	64.38040
2016-09-09	63.97300
2016-09-10	64.16170
2016-09-11	64.16170
2016-09-12	64.16170
2016-09-13	65.05390
2016-09-14	64.81020
2016-09-15	64.97370
2016-09-16	65.21700
2016-09-17	64.99400
2016-09-18	64.99400
2016-09-19	64.99400
2016-09-20	64.91730
2016-09-21	64.75130
2016-09-22	64.44240
2016-09-23	63.79420
2016-09-24	63.86420
2016-09-25	63.86420
2016-09-26	63.86420
2016-09-27	64.15060
2016-09-28	63.69210
2016-09-29	63.95090
2016-09-30	63.15810
2016-10-01	63.39600
2016-10-02	63.39600
2016-10-03	63.39600
2016-10-04	62.54770
2016-10-05	62.43230
2016-10-06	62.45830
2016-10-07	62.39000
2016-10-08	62.30310
2016-10-09	62.30310
2016-10-10	62.30310
2016-10-11	62.38840
2016-10-12	62.19460
2016-10-13	62.58920
2016-10-14	63.34650
2016-10-15	62.99340
2016-10-16	62.99340
2016-10-17	62.99340
2016-10-18	63.15100
2016-10-19	62.89000
2016-10-20	62.58410
2016-10-21	62.41940
2016-10-22	62.44990
2016-10-23	62.44990
2016-10-24	62.44990
2016-10-25	62.23490
2016-10-26	62.04800
2016-10-27	62.25970
2016-10-28	63.03990
2016-10-29	62.90370
2016-10-30	62.90370
2016-10-31	62.90370
2016-11-01	63.21740
2016-11-02	63.20250
2016-11-03	63.41660
2016-11-04	63.50430
2016-11-05	63.50430
2016-11-06	63.50430
2016-11-07	63.50430
2016-11-08	63.90740
2016-11-09	63.73640
2016-11-10	63.89280
2016-11-11	63.41610
2016-11-12	65.21670
2016-11-13	65.21670
2016-11-14	65.21670
2016-11-15	65.85910
2016-11-16	65.55480
2016-11-17	64.54630
2016-11-18	64.91540
2016-11-19	65.10230
2016-11-20	65.10230
2016-11-21	65.10230
2016-11-22	64.35800
2016-11-23	63.62820
2016-11-24	64.00870
2016-11-25	64.62790
2016-11-26	64.61740
2016-11-27	64.61740
2016-11-28	64.61740
2016-11-29	64.91530
2016-11-30	64.94490
2016-12-01	65.23820
2016-12-02	63.68070
2016-12-03	64.15280
2016-12-04	64.15280
2016-12-05	64.15280
2016-12-06	63.92420
2016-12-07	63.87410
2016-12-08	63.91140
2016-12-09	63.39010
2016-12-10	63.30280
2016-12-11	63.30280
2016-12-12	63.30280
2016-12-13	61.58040
2016-12-14	61.06900
2016-12-15	60.80790
2016-12-16	61.63680
2016-12-17	61.75150
2016-12-18	61.75150
2016-12-19	61.75150
2016-12-20	61.79310
2016-12-21	61.79670
2016-12-22	61.10920
2016-12-23	60.86410
2016-12-24	60.85280
2016-12-25	60.85280
2016-12-26	60.85280
2016-12-27	60.90840
2016-12-28	60.85870
2016-12-29	60.66690
2016-12-30	60.27300
2016-12-31	60.65690
2017-01-01	60.65690
2017-01-02	60.65690
2017-01-03	60.65690
2017-01-04	60.65690
2017-01-05	60.65690
2017-01-06	60.65690
2017-01-07	60.65690
2017-01-08	60.65690
2017-01-09	60.65690
2017-01-10	59.8961
2017-01-11	59.9533
2017-01-12	60.1614
2017-01-13	59.4978
2017-01-14	59.37
2017-01-15	59.37
2017-01-16	59.37
2017-01-17	59.6067
2017-01-18	59.4015
2017-01-19	59.183
2017-01-20	59.3521
2017-01-21	59.6697
2017-01-22	59.6697
2017-01-23	59.6697
2017-01-24	59.5034
2017-01-25	59.2168
2017-01-26	59.1489
2017-01-27	59.6356
2017-01-28	60.3196
2017-01-29	60.3196
2017-01-30	60.3196
2017-01-31	60.1618
2017-02-01	60.0851
2017-02-02	60.3099
2017-02-03	59.9858
2017-02-04	59.3137
2017-02-05	59.3137
2017-02-06	59.3137
2017-02-07	58.7121
2017-02-08	59.1933
2017-02-09	59.5129
2017-02-10	59.0235
2017-02-11	58.8457
2017-02-12	58.8457
2017-02-13	58.8457
2017-02-14	58.0619
2017-02-15	57.7388
2017-02-16	56.7719
2017-02-17	57.1507
2017-02-18	57.6342
2017-02-19	57.6342
2017-02-20	57.6342
2017-02-21	58.0967
2017-02-22	57.859
2017-02-23	57.4762
2017-02-24	57.4762
2017-02-25	57.4762
2017-02-26	57.4762
2017-02-27	57.4762
2017-02-28	57.9371
2017-03-01	57.9627
2017-03-02	58.3776
2017-03-03	58.4067
2017-03-04	58.9099
2017-03-05	58.9099
2017-03-06	58.9099
2017-03-07	58.337
2017-03-08	58.263
2017-03-09	58.263
2017-03-10	58.8318
2017-03-11	59.2174
2017-03-12	59.2174
2017-03-13	59.2174
2017-03-14	59.1327
2017-03-15	58.954
2017-03-16	59.1128
2017-03-17	58.2437
2017-03-18	57.9344
2017-03-19	57.9344
2017-03-20	57.9344
2017-03-21	57.2847
2017-03-22	57.2323
2017-03-23	57.636
2017-03-24	57.5228
2017-03-25	57.4247
2017-03-26	57.4247
2017-03-27	57.4247
2017-03-28	57.0233
2017-03-29	56.9364
2017-03-30	57.0241
2017-03-31	56.3779
2017-04-01	55.9606
2017-04-02	55.9606
2017-04-03	55.9606
2017-04-04	56.1396
2017-04-05	56.5553
2017-04-06	55.894
2017-04-07	56.4369
2017-04-08	56.9201
2017-04-09	56.9201
2017-04-10	56.9201
2017-04-11	57.3896
2017-04-12	56.9552
2017-04-13	56.7556
2017-04-14	56.6019
2017-04-15	56.2945
2017-04-16	56.2945
2017-04-17	56.2945
2017-04-18	56.2505
2017-04-19	55.9793
2017-04-20	56.1753
2017-04-21	56.4165
2017-04-22	56.2307
2017-04-23	56.2307
2017-04-24	56.2307
2017-04-25	56.0794
2017-04-26	55.8453
2017-04-27	56.3131
2017-04-28	56.9707
2017-04-29	56.9838
2017-04-30	56.9838
2017-05-01	56.9838
2017-05-02	56.9838
2017-05-03	56.9518
2017-05-04	57.0927
2017-05-05	57.5714
2017-05-06	58.5382
2017-05-07	58.5382
2017-05-08	58.5382
2017-05-09	58.5382
2017-05-10	58.5382
2017-05-11	58.0824
2017-05-12	57.1161
2017-05-13	57.164
2017-05-14	57.164
2017-05-15	57.164
2017-05-16	56.5258
2017-05-17	56.2603
2017-05-18	56.7383
2017-05-19	57.4683
2017-05-20	57.1602
2017-05-21	57.1602
2017-05-22	57.1602
2017-05-23	56.4988
2017-05-24	56.5552
2017-05-25	56.2743
2017-05-26	56.0701
2017-05-27	56.756
2017-05-28	56.756
2017-05-29	56.756
2017-05-30	56.7106
2017-05-31	56.5168
2017-06-01	56.6876
2017-06-02	56.5373
2017-06-03	56.6876
2017-06-04	56.6876
2017-06-05	56.6876
2017-06-06	56.6152
2017-06-07	56.6747
2017-06-08	56.5878
2017-06-09	56.9857
2017-06-10	57.002
2017-06-11	57.002
2017-06-12	57.002
2017-06-13	57.002
2017-06-14	56.9096
2017-06-15	57.0303
2017-06-16	57.4437
2017-06-17	57.7408
2017-06-18	57.7408
2017-06-19	57.7408
2017-06-20	57.9585
2017-06-21	58.5786
2017-06-22	60
2017-06-23	60.1482
2017-06-24	59.6564
2017-06-25	59.6564
2017-06-26	59.6564
2017-06-27	59.0014
2017-06-28	58.8843
2017-06-29	59.5415
2017-06-30	59.0855
2017-07-01	59.3862
2017-07-02	59.3862
2017-07-03	59.3862
2017-07-04	58.9695
2017-07-05	59.2295
2017-07-06	59.5787
2017-07-07	60.2426
2017-07-08	60.3792
2017-07-09	60.3792
2017-07-10	60.3792
2017-07-11	60.3014
2017-07-12	60.7397
2017-07-13	60.6227
2017-07-14	60.1836
2017-07-15	59.8806
2017-07-16	59.8806
2017-07-17	59.8806
2017-07-18	59.0657
2017-07-19	59.3705
2017-07-20	59.2418
2017-07-21	59.0823
2017-07-22	58.9325
2017-07-23	58.9325
2017-07-24	58.9325
2017-07-25	59.6572
2017-07-26	59.8185
2017-07-27	59.9102
2017-07-28	59.4102
2017-07-29	59.5436
2017-07-30	59.5436
2017-07-31	59.5436
2017-08-01	60.0633
2017-08-02	59.8454
2017-08-03	60.5819
2017-08-04	60.7503
2017-08-05	60.3281
2017-08-06	60.3281
2017-08-07	60.3281
2017-08-08	60.0605
2017-08-09	59.9886
2017-08-10	59.9611
2017-08-11	59.9298
2017-08-12	60.1873
2017-08-13	60.1873
2017-08-14	60.1873
2017-08-15	59.799
2017-08-16	59.9266
2017-08-17	59.6521
2017-08-18	59.249
2017-08-19	59.3612
2017-08-20	59.3612
2017-08-21	59.3612
2017-08-22	59.1409
2017-08-23	59.0396
2017-08-24	59.1312
2017-08-25	59.1397
2017-08-26	59.1476
2017-08-27	59.1476
2017-08-28	59.1476
2017-08-29	58.5469
2017-08-30	58.532
2017-08-31	58.7306
2017-09-01	58.5454
2017-09-02	58.0557
2017-09-03	58.0557
2017-09-04	58.0557
2017-09-05	57.7817
2017-09-06	57.8503
2017-09-07	57.3387
2017-09-08	57.1411
2017-09-09	56.9966
2017-09-10	56.9966
2017-09-11	56.9966
2017-09-12	57.1694
2017-09-13	57.2656
2017-09-14	57.6679
2017-09-15	57.7706
2017-09-16	57.5336
2017-09-17	57.5336
2017-09-18	57.5336
2017-09-19	57.6242
2017-09-20	58.0993
2017-09-21	58.1290
2017-09-22	58.2242
2017-09-23	57.6527
2017-09-24	57.6527
2017-09-25	57.6527
2017-09-26	57.5660
2017-09-27	57.5186
2017-09-28	58.0102
2017-09-29	58.4255
2017-09-30	58.0169
2017-10-01	58.0169
2017-10-02	58.0169
2017-10-03	57.8134
2017-10-04	57.9375
2017-10-05	57.7832
2017-10-06	57.5811
2017-10-07	57.7612
2017-10-08	57.7612
2017-10-09	57.7612
2017-10-10	58.3151
2017-10-11	58.0713
2017-10-12	57.9210
2017-10-13	57.6869
2017-10-14	57.6196
2017-10-15	57.6196
2017-10-16	57.6196
2017-10-17	57.0861
2017-10-18	57.3392
2017-10-19	57.2721
2017-10-20	57.5706
2017-10-21	57.5118
2017-10-22	57.5118
2017-10-23	57.5118
2017-10-24	57.4706
2017-10-25	57.5852
2017-10-26	57.6140
2017-10-27	57.7643
2017-10-28	58.0833
2017-10-29	58.0833
2017-10-30	58.0833
2017-10-31	57.8716
2017-11-01	58.1179
2017-11-02	58.1557
2017-11-03	58.0869
2017-11-04	58.4296
2017-11-05	58.4296
2017-11-06	58.4296
2017-11-07	58.4296
2017-11-08	58.4557
2017-11-09	59.2480
2017-11-10	59.2527
2017-11-11	59.2808
2017-11-12	59.2808
2017-11-13	59.2808
2017-11-14	59.1823
2017-11-15	59.6207
2017-11-16	60.2490
2017-11-17	59.9898
2017-11-18	59.6325
2017-11-19	59.6325
2017-11-20	59.6325
2017-11-21	59.2746
2017-11-22	59.4604
2017-11-23	59.0061
2017-11-24	58.4622
2017-11-25	58.5318
2017-11-26	58.5318
2017-11-27	58.5318
2017-11-28	58.2773
2017-11-29	58.4125
2017-11-30	58.3311
2017-12-01	58.5814
2017-12-02	58.5182
2017-12-03	58.5182
2017-12-04	58.5182
2017-12-05	58.9911
2017-12-06	58.6924
2017-12-07	58.9281
2017-12-08	59.2948
2017-12-09	59.2811
2017-12-10	59.2811
2017-12-11	59.2811
2017-12-12	59.2348
2017-12-13	58.8370
2017-12-14	59.1446
2017-12-15	58.7082
2017-12-16	58.8987
2017-12-17	58.8987
2017-12-18	58.8987
2017-12-19	58.6940
2017-12-20	58.6117
2017-12-21	58.7170
2017-12-22	58.5596
2017-12-23	58.3152
2017-12-24	58.3152
2017-12-25	58.3152
2017-12-26	58.1989
2017-12-27	57.7343
2017-12-28	57.4544
2017-12-29	57.6291
2017-12-30	57.6002
2017-12-31	57.6002
2018-01-01	57.6002
2018-01-02	57.6002
2018-01-03	57.6002
2018-01-04	57.6002
2018-01-05	57.6002
2018-01-06	57.6002
2018-01-07	57.6002
2018-01-08	57.6002
2018-01-09	57.6002
2018-01-10	57.0463
2018-01-11	56.8734
2018-01-12	56.9957
2018-01-13	56.6019
2018-01-14	56.6019
2018-01-15	56.6019
2018-01-16	56.3569
2018-01-17	56.3878
2018-01-18	56.5925
2018-01-19	56.7597
2018-01-20	56.5892
2018-01-21	56.5892
2018-01-22	56.5892
2018-01-23	56.6261
2018-01-24	56.4115
2018-01-25	56.3888
2018-01-26	55.9288
2018-01-27	55.8288
2018-01-28	55.8288
2018-01-29	55.8288
2018-01-30	56.2908
2018-01-31	56.2914
2018-02-01	56.1840
2018-02-02	56.2613
2018-02-03	56.0408
2018-02-04	56.0408
2018-02-05	56.0408
2018-02-06	56.6278
2018-02-07	57.2196
2018-02-08	56.9533
2018-02-09	57.6736
2018-02-10	58.1718
2018-02-11	58.1718
2018-02-12	58.1718
2018-02-13	58.0171
2018-02-14	57.7701
2018-02-15	57.5899
2018-02-16	56.5918
2018-02-17	56.3554
2018-02-18	56.3554
2018-02-19	56.3554
2018-02-20	56.3438
2018-02-21	56.5201
2018-02-22	56.6537
2018-02-23	56.7608
2018-02-24	56.7608
2018-02-25	56.7608
2018-02-26	56.7608
2018-02-27	55.9208
2018-02-28	55.6717
2018-03-01	56.3742
2018-03-02	56.4334
2018-03-03	56.6616
2018-03-04	56.6616
2018-03-05	56.6616
2018-03-06	57.1000
2018-03-07	56.5041
2018-03-08	56.8011
2018-03-09	56.8011
2018-03-10	56.8011
2018-03-11	56.8011
2018-03-12	56.8011
2018-03-13	56.6122
2018-03-14	56.9359
2018-03-15	56.9372
2018-03-16	57.0188
2018-03-17	57.4942
2018-03-18	57.4942
2018-03-19	57.4942
2018-03-20	57.5521
2018-03-21	57.7033
2018-03-22	57.4954
2018-03-23	56.8391
2018-03-24	57.1072
2018-03-25	57.1072
2018-03-26	57.1072
2018-03-27	57.0039
2018-03-28	57.1747
2018-03-29	57.5598
2018-03-30	57.7626
2018-03-31	57.2649
2018-04-01	57.2649
2018-04-02	57.2649
2018-04-03	57.2850
2018-04-04	57.5375
2018-04-05	57.7646
2018-04-06	57.5796
2018-04-07	57.8332
2018-04-08	57.8332
2018-04-09	57.8332
2018-04-10	58.5714
2018-04-11	62.3699
2018-04-12	64.0626
2018-04-13	62.0659
2018-04-14	61.4311
2018-04-15	61.4311
2018-04-16	61.4311
2018-04-17	62.2794
2018-04-18	61.1454
2018-04-19	61.5539
2018-04-20	60.8583
2018-04-21	61.3222
2018-04-22	61.3222
2018-04-23	61.3222
2018-04-24	61.7655
2018-04-25	61.6644
2018-04-26	61.7494
2018-04-27	62.6027
2018-04-28	62.7260
2018-04-29	61.9997
2018-04-30	61.9997
2018-05-01	61.9997
2018-05-02	61.9997
2018-05-03	61.9997
2018-05-04	63.4860
2018-05-05	63.2012
2018-05-06	63.2012
2018-05-07	63.2012
2018-05-08	62.7148
2018-05-09	63.0066
2018-05-10	63.0066
2018-05-11	62.5229
2018-05-12	61.7354
2018-05-13	61.7354
2018-05-14	61.7354
2018-05-15	61.7684
2018-05-16	61.9164
2018-05-17	62.3033
2018-05-18	61.8215
2018-05-19	61.9408
2018-05-20	61.9408
2018-05-21	61.9408
2018-05-22	62.5327
2018-05-23	61.2610
2018-05-24	61.5945
2018-05-25	61.4090
2018-05-26	61.6659
2018-05-27	61.6659
2018-05-28	61.6659
2018-05-29	62.2710
2018-05-30	62.6420
2018-05-31	62.5937
2018-06-01	62.0188
2018-06-02	62.2056
2018-06-03	62.2056
2018-06-04	62.2056
2018-06-05	61.9290
2018-06-06	61.9822
2018-06-07	62.0064
2018-06-08	61.8125
2018-06-09	62.6680
2018-06-10	62.3431
2018-06-11	62.3431
2018-06-12	62.3431
2018-06-13	62.3431
2018-06-14	63.1164
2018-06-15	62.2511
2018-06-16	62.6851
2018-06-17	62.6851
2018-06-18	62.6851
2018-06-19	63.4838
2018-06-20	64.0683
2018-06-21	63.6175
2018-06-22	63.7873
2018-06-23	63.2396
2018-06-24	63.2396
2018-06-25	63.2396
2018-06-26	62.9497
2018-06-27	62.7908
2018-06-28	63.1359
2018-06-29	63.2910
2018-06-30	62.7565
2018-07-01	62.7565
2018-07-02	62.7565
2018-07-03	63.1394
2018-07-04	63.2194
2018-07-05	63.2267
2018-07-06	63.2604
2018-07-07	63.1216
2018-07-08	63.1216
2018-07-09	63.1216
2018-07-10	62.8338
2018-07-11	62.4442
2018-07-12	62.0980
2018-07-13	62.2062
2018-07-14	62.2934
2018-07-15	62.2934
2018-07-16	62.2934
2018-07-17	62.2556
2018-07-18	62.4352
2018-07-19	62.9006
2018-07-20	63.2746
2018-07-21	63.4888
2018-07-22	63.4888
2018-07-23	63.4888
2018-07-24	63.1957
2018-07-25	62.9235
2018-07-26	63.0836
2018-07-27	62.9471
2018-07-28	62.9726
2018-07-29	62.9726
2018-07-30	62.9726
2018-07-31	62.7805
2018-08-01	62.3497
2018-08-02	62.5590
2018-08-03	63.1358
2018-08-04	63.4549
2018-08-05	63.4549
2018-08-06	63.4549
2018-08-07	63.4975
2018-08-08	63.5425
2018-08-09	63.5950
2018-08-10	66.2856
2018-08-11	66.9075
2018-08-12	66.9075
2018-08-13	66.9075
2018-08-14	68.2234
2018-08-15	66.7535
2018-08-16	66.3772
2018-08-17	66.8932
2018-08-18	66.8757
2018-08-19	66.8757
2018-08-20	66.8757
2018-08-21	67.1807
2018-08-22	67.1783
2018-08-23	67.6163
2018-08-24	68.5259
2018-08-25	67.7911
2018-08-26	67.7911
2018-08-27	67.7911
2018-08-28	67.3963
2018-08-29	67.3911
2018-08-30	68.1451
2018-08-31	68.0821
2018-09-01	68.0447
2018-09-02	68.0447
2018-09-03	68.0447
2018-09-04	67.7443
2018-09-05	68.2737
2018-09-06	68.4628
2018-09-07	68.2505
2018-09-08	69.0286
2018-09-09	69.0286
2018-09-10	69.0286
2018-09-11	69.8685
2018-09-12	69.9744
2018-09-13	69.5728
2018-09-14	68.6370
2018-09-15	68.2826
2018-09-16	68.2826
2018-09-17	68.2826
2018-09-18	68.1958
2018-09-19	67.7519
2018-09-20	67.0098
2018-09-21	66.4725
2018-09-22	66.2497
2018-09-23	66.2497
2018-09-24	66.2497
2018-09-25	66.1594
2018-09-26	65.8244
2018-09-27	65.7585
2018-09-28	65.8355
2018-09-29	65.5906
2018-09-30	65.5906
2018-10-01	65.5906
2018-10-02	65.5745
2018-10-03	65.2221
2018-10-04	65.4244
2018-10-05	66.2115
2018-10-06	66.6270
2018-10-07	66.6270
2018-10-08	66.6270
2018-10-09	66.9685
2018-10-10	66.4032
2018-10-11	66.1832
2018-10-12	66.7727
2018-10-13	65.9751
2018-10-14	65.9751
2018-10-15	65.9751
2018-10-16	65.7508
2018-10-17	65.5305
2018-10-18	65.4026
2018-10-19	65.7238
2018-10-20	65.8140
2018-10-21	65.8140
2018-10-22	65.8140
2018-10-23	65.3065
2018-10-24	65.3101
2018-10-25	65.6299
2018-10-26	65.7476
2018-10-27	65.6345
2018-10-28	65.6345
2018-10-29	65.6345
2018-10-30	65.8129
2018-10-31	65.7742
2018-11-01	65.5962
2018-11-02	65.6517
2018-11-03	65.5799
2018-11-04	65.5799
2018-11-05	65.5799
2018-11-06	65.5799
2018-11-07	65.9912
2018-11-08	66.0918
2018-11-09	66.2155
2018-11-10	66.8497
2018-11-11	66.8497
2018-11-12	66.8497
2018-11-13	67.5238
2018-11-14	67.6812
2018-11-15	67.9975
2018-11-16	66.6159
2018-11-17	65.9931
2018-11-18	65.9931
2018-11-19	65.9931
2018-11-20	66.0081
2018-11-21	65.5871
2018-11-22	65.9485
2018-11-23	65.6067
2018-11-24	65.6664
2018-11-25	65.6664
2018-11-26	65.6664
2018-11-27	66.5072
2018-11-28	66.7800
2018-11-29	66.9436
2018-11-30	66.6342
2018-12-01	66.5335
2018-12-02	66.5335
2018-12-03	66.5335
2018-12-04	66.2921
2018-12-05	66.4467
2018-12-06	66.8242
2018-12-07	66.7377
2018-12-08	66.9227
2018-12-09	66.9227
2018-12-10	66.9227
2018-12-11	66.2416
2018-12-12	66.5022
2018-12-13	66.4225
2018-12-14	66.2550
2018-12-15	66.4337
2018-12-16	66.4337
2018-12-17	66.4337
2018-12-18	66.6208
2018-12-19	66.7454
2018-12-20	67.1121
2018-12-21	67.3710
2018-12-22	68.0085
2018-12-23	68.0085
2018-12-24	68.0085
2018-12-25	68.4073
2018-12-26	68.7448
2018-12-27	68.8865
2018-12-28	68.8762
2018-12-29	69.5218
2018-12-30	69.4706
2018-12-31	69.4706
2019-01-01	69.4706
2019-01-02	69.4706
2019-01-03	69.4706
2019-01-04	69.4706
2019-01-05	69.4706
2019-01-06	69.4706
2019-01-07	69.4706
2019-01-08	69.4706
2019-01-09	69.4706
2019-01-10	67.0795
2019-01-11	66.8605
2019-01-12	66.9167
2019-01-13	66.9167
2019-01-14	66.9167
2019-01-15	67.1920
2019-01-16	67.0820
2019-01-17	66.7617
2019-01-18	66.4438
2019-01-19	66.3309
2019-01-20	66.3309
2019-01-21	66.3309
2019-01-22	66.3634
2019-01-23	66.5499
2019-01-24	66.3318
2019-01-25	66.0016
2019-01-26	65.9170
2019-01-27	65.9170
2019-01-28	65.9170
2019-01-29	65.9300
2019-01-30	66.3412
2019-01-31	66.0987
2019-02-01	65.3577
2019-02-02	65.6601
2019-02-03	65.6601
2019-02-04	65.6601
2019-02-05	65.5859
2019-02-06	65.5691
2019-02-07	65.6686
2019-02-08	66.0199
2019-02-09	66.0628
2019-02-10	66.0628
2019-02-11	66.0628
2019-02-12	65.6517
2019-02-13	65.7147
2019-02-14	65.6783
2019-02-15	66.5429
2019-02-16	66.7044
2019-02-17	66.7044
2019-02-18	66.7044
2019-02-19	66.2470
2019-02-20	66.2022
2019-02-21	65.8568
2019-02-22	65.5401
2019-02-23	65.5149
2019-02-24	65.5149
2019-02-25	65.5149
2019-02-26	65.2582
2019-02-27	65.6182
2019-02-28	65.7570
2019-03-01	65.8895
2019-03-02	65.8145
2019-03-03	65.8145
2019-03-04	65.8145
2019-03-05	65.7956
2019-03-06	65.8004
2019-03-07	65.8430
2019-03-08	65.9646
2019-03-09	65.9646
2019-03-10	65.9646
2019-03-11	65.9646
2019-03-12	66.0763
2019-03-13	65.7674
